model,metric,benchmark,unit,score,base_score,delta_base,relative_base_pct,d2_score,delta_d2,relative_d2_pct
Base,belebele_sw,SW Belebele,%,37.22222222222222,37.22222222222222,0.0,0.0,44.888888888888886,-7.666666666666664,-17.079207920792072
Base,sum_sw,SW XL-Sum,chrF++,23.93525353687835,23.93525353687835,0.0,0.0,30.18689316227931,-6.251639625400962,-20.70978153264489
Base,mt_en2sw,EN→SW,chrF++,17.43894564338783,17.43894564338783,0.0,0.0,36.33963633557651,-18.90069069218868,-52.01122685337636
Base,mt_sw2en,SW→EN,chrF++,21.00647263204572,21.00647263204572,0.0,0.0,39.64459963483287,-18.63812700278715,-47.01302869612325
Base,belebele_en,EN Belebele,%,81.77777777777779,81.77777777777779,0.0,0.0,78.33333333333333,3.444444444444457,4.397163120567393
Base,sum_en,EN XL-Sum,chrF++,21.88807455273231,21.88807455273231,0.0,0.0,21.63216210835167,0.25591244438063754,1.1830183367654845
Base,ifeval_prompt_strict,IFEval prompt strict,%,42.883548983364136,42.883548983364136,0.0,0.0,20.147874306839185,22.73567467652495,112.84403669724772
Base,ifeval_instruction_strict,IFEval instruction strict,%,51.798561151079134,51.798561151079134,0.0,0.0,29.73621103117506,22.062350119904075,74.19354838709677
Base,gsm8k_strict,GSM8K strict 5-shot,%,31.311599696739954,31.311599696739954,0.0,0.0,13.495072024260804,17.81652767247915,132.02247191011236
Base,gsm8k_flexible,GSM8K flexible 5-shot,%,54.73843821076573,54.73843821076573,0.0,0.0,37.14935557240334,17.58908263836239,47.346938775510196
Base,en_ppl,en_ppl,diagnostic,14.279994202913413,14.279994202913413,0.0,0.0,16.392411912590518,-2.1124177096771053,-12.88655824988525
Base,sw_ppl,sw_ppl,diagnostic,69.5879472795036,69.5879472795036,0.0,0.0,13.69571177399636,55.89223550550724,408.1002610731642
Base,en_nll,en_nll,diagnostic,2.6588595509529114,2.6588595509529114,0.0,0.0,2.7968185395002365,-0.13795898854732513,-4.932711457639904
